order_id,order_date,customer_email,currency,gross_amount,discount,net_amount,status
ORD-1601,2025-04-13 00:00:00,noor.k@example.com,USD,210.0,0,210.0,completed
ORD-1076,2025-05-14 07:00:00,jonas.m@example.com,USD,325.12,0.0,325.12,completed
ORD-1026,2025-05-17 03:00:00,diego.r@example.com,USD,332.0,33.2,298.8,completed
ORD-1082,2025-05-13 06:00:00,liam.p@example.com,USD,200.29,0.0,200.29,completed
ORD-1801,2025-04-06 00:00:00,mei.l@example.com,USD,130.0,0,130.0,completed
ORD-1034,2025-05-23 02:00:00,noor.k@example.com,USD,469.76,46.98,422.78,completed
ORD-1701,2025-04-22 00:00:00,ava.n@example.com,USD,175.0,0,175.0,cancelled
ORD-1116,2025-04-28 15:00:00,omar.a@example.com,USD,28.5,0.0,28.5,completed
ORD-1107,2025-04-29 08:00:00,diego.r@example.com,USD,364.58,54.69,309.89,completed
ORD-1041,2025-05-28 01:00:00,jonas.m@example.com,USD,414.73,0.0,414.73,completed
ORD-1143,2025-05-12 22:00:00,liam.p@example.com,USD,243.23,0.0,243.23,completed
ORD-1008,2025-04-25 03:00:00,mei.l@example.com,USD,181.93,0.0,181.93,completed
ORD-1124,2025-04-16 06:00:00,noor.k@example.com,USD,405.24,40.52,364.72,completed
ORD-1138,2025-04-16 14:00:00,tom.b@example.com,USD,279.98,42.0,237.98,completed
ORD-1097,2025-04-06 09:00:00,mei.l@example.com,USD,254.69,38.2,216.49,completed
ORD-1080,2025-05-21 22:00:00,priya.s@example.com,USD,65.26,0.0,65.26,completed
ORD-1052,2025-04-25 08:00:00,diego.r@example.com,USD,445.83,22.29,423.54,completed
ORD-1067,2025-05-27 04:00:00,kate.d@example.com,USD,137.98,0.0,137.98,completed
ORD-1068,2025-04-10 08:00:00,kate.d@example.com,USD,146.02,0.0,146.02,completed
ORD-1087,2025-04-13 08:00:00,ava.n@example.com,USD,35.64,1.78,33.86,completed
ORD-1602,2025-05-04 00:00:00,liam.p@example.com,EUR,145.0,0,145.0,completed
ORD-1502,2025-05-12 00:00:00,diego.r@example.com,USD,128.74,0,128.74,completed
ORD-2001,2025-04-18 00:00:00,jonas.m@example.com,USD,310.0,0,310.0,completed
ORD-1158,2025-05-21 19:00:00,tom.b@example.com,USD,119.94,11.99,107.95,completed
ORD-1109,2025-04-16 08:00:00,liam.p@example.com,USD,171.17,17.12,154.05,completed
ORD-1095,2025-05-09 20:00:00,priya.s@example.com,USD,164.85,8.24,156.61,completed
ORD-1156,2025-05-14 01:00:00,diego.r@example.com,USD,85.55,8.55,77.0,completed
ORD-1028,2025-05-17 23:00:00,noor.k@example.com,USD,137.48,13.75,123.73,completed
ORD-1130,2025-04-16 03:00:00,omar.a@example.com,USD,339.19,0.0,339.19,completed
ORD-1005,2025-05-15 17:00:00,mei.l@example.com,USD,210.08,10.5,199.58,completed
ORD-1159,2025-05-29 14:00:00,tom.b@example.com,USD,153.27,15.33,137.94,completed
ORD-1073,2025-04-08 02:00:00,noor.k@example.com,USD,454.45,68.17,386.28,completed
ORD-1070,2025-04-17 01:00:00,diego.r@example.com,USD,57.92,2.9,55.02,completed
ORD-1129,2025-04-26 22:00:00,kate.d@example.com,USD,107.22,10.72,96.5,completed
ORD-1120,2025-04-04 08:00:00,priya.s@example.com,USD,191.28,0.0,191.28,completed
ORD-1902,2025-04-29 00:00:00,kate.d@example.com,USD,68.65,0,68.65,completed
ORD-1022,2025-05-28 18:00:00,noor.k@example.com,USD,200.72,0.0,200.72,completed
ORD-1033,2025-04-16 18:00:00,kate.d@example.com,USD,455.33,0.0,455.33,completed
ORD-1079,2025-05-22 21:00:00,diego.r@example.com,USD,416.79,0.0,416.79,completed
ORD-1051,2025-05-26 12:00:00,tom.b@example.com,USD,434.64,0.0,434.64,completed
ORD-1088,2025-05-30 17:00:00,kate.d@example.com,USD,334.39,50.16,284.23,completed
ORD-1145,2025-04-24 15:00:00,tom.b@example.com,USD,272.36,0.0,272.36,completed
ORD-1152,2025-05-06 09:00:00,omar.a@example.com,USD,339.3,0.0,339.3,completed
ORD-1075,2025-04-03 09:00:00,sara.h@example.com,USD,184.56,0.0,184.56,completed
ORD-1203,2025-05-06 00:00:00,ava.n@example.com,USD,59.52,0,59.52,completed
ORD-1055,2025-04-04 23:00:00,mei.l@example.com,USD,160.83,0.0,160.83,completed
ORD-1046,2025-04-04 12:00:00,chen.w@example.com,USD,353.62,0.0,353.62,completed
ORD-1201,2025-05-11 00:00:00,omar.a@example.com,USD,94.87,0,94.87,completed
ORD-1048,2025-04-30 07:00:00,priya.s@example.com,USD,421.64,0.0,421.64,completed
ORD-1089,2025-04-13 11:00:00,sara.h@example.com,USD,215.55,32.33,183.22,completed
ORD-1003,2025-05-08 13:00:00,chen.w@example.com,USD,29.78,0.0,29.78,completed
ORD-1149,2025-04-18 23:00:00,mei.l@example.com,USD,289.16,28.92,260.24,completed
ORD-1084,2025-04-02 03:00:00,noor.k@example.com,USD,422.82,0.0,422.82,completed
ORD-1102,2025-04-01 03:00:00,noor.k@example.com,USD,376.97,0.0,376.97,completed
ORD-1099,2025-04-02 01:00:00,mei.l@example.com,USD,128.85,6.44,122.41,completed
ORD-1204,2025-04-27 00:00:00,mei.l@example.com,USD,157.13,0,157.13,completed
ORD-1100,2025-04-30 13:00:00,chen.w@example.com,USD,427.05,42.71,384.34,completed
ORD-1115,2025-05-22 19:00:00,chen.w@example.com,USD,432.48,21.62,410.86,completed
ORD-1013,2025-04-18 14:00:00,noor.k@example.com,USD,310.59,0.0,310.59,completed
ORD-1056,2025-05-03 16:00:00,liam.p@example.com,USD,88.21,8.82,79.39,completed
ORD-1110,2025-04-10 07:00:00,kate.d@example.com,USD,193.11,0.0,193.11,completed
ORD-1101,2025-04-25 15:00:00,omar.a@example.com,USD,200.84,0.0,200.84,completed
ORD-1139,2025-04-02 15:00:00,priya.s@example.com,USD,410.69,0.0,410.69,completed
ORD-1137,2025-04-18 10:00:00,diego.r@example.com,USD,411.05,0.0,411.05,completed
ORD-1043,2025-05-07 15:00:00,tom.b@example.com,USD,127.99,6.4,121.59,completed
ORD-1501,2025-04-28 00:00:00,chen.w@example.com,USD,119.84,0,119.84,completed
ORD-1123,2025-05-12 02:00:00,ava.n@example.com,USD,378.27,56.74,321.53,completed
ORD-1058,2025-05-27 18:00:00,ava.n@example.com,USD,129.49,12.95,116.54,completed
ORD-1098,2025-04-06 07:00:00,chen.w@example.com,USD,327.85,0.0,327.85,completed
ORD-1118,2025-05-05 00:00:00,mei.l@example.com,USD,436.72,43.67,393.05,completed
ORD-1039,2025-04-22 00:00:00,mei.l@example.com,USD,288.56,0.0,288.56,completed
ORD-1122,2025-05-01 00:00:00,sara.h@example.com,USD,363.3,0.0,363.3,completed
ORD-1136,2025-05-22 17:00:00,tom.b@example.com,USD,375.21,18.76,356.45,completed
ORD-1096,2025-04-14 16:00:00,noor.k@example.com,USD,235.03,35.25,199.78,completed
ORD-1146,2025-04-22 11:00:00,diego.r@example.com,USD,341.83,0.0,341.83,completed
ORD-1044,2025-04-07 03:00:00,tom.b@example.com,USD,321.43,0.0,321.43,completed
ORD-1131,2025-05-22 03:00:00,ava.n@example.com,USD,385.25,38.53,346.72,completed
ORD-1036,2025-05-26 19:00:00,jonas.m@example.com,USD,211.76,0.0,211.76,completed
ORD-1009,2025-05-22 01:00:00,liam.p@example.com,USD,354.33,35.43,318.9,completed
ORD-1018,2025-05-22 10:00:00,chen.w@example.com,USD,201.54,0.0,201.54,completed
ORD-1094,2025-05-24 00:00:00,tom.b@example.com,USD,156.3,0.0,156.3,completed
ORD-1077,2025-05-10 23:00:00,noor.k@example.com,USD,86.87,0.0,86.87,completed
